Papel,Cota��o,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Ebit,Mrg. L�q.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. L�q,D�v.Brut/ Patrim.,Cresc. Rec.5a
PNOR5,187,-290,055,0354,"0,00%",205,070,852,-232,457,457,"4,15%","-11,74%",250,"3,61%","-18,84%",000,"158.071.000,00",042,"1,34%"
STRP4,021,-285,-043,0416,"0,00%",111,-018,-045,-9,-115,-115,"-91,82%","-14,58%",13,"-25,49%","14,95%",000,"-12.498.000,00",-066,"-36,39%"
SOMA3,594,-281,080,0867,"0,00%",486,201,745,1987,924,613,"11,63%","-30,81%",236,"7,81%","-28,52%","25.507.400,00","5.809.620.000,00",033,"58,94%"
TELB4,903,-272,061,1965,"0,00%",196,058,-228,-78,115,505,"-86,10%","-72,18%",488,"-13,38%","-22,24%","53.184,20","1.288.020.000,00",006,"13,99%"
LIXC3,175,-262,152,395995,"0,00%",69,028,-421,384,-637,-668,"-9.413,21%","-14.386,80%",134,"-1,90%","-57,85%",000,"13.842.000,00",079,"-75,90%"
DOTZ3,801,-250,-043,0715,"0,00%",491,-054,-43608,-28,-59782,503,"-0,16%","-28,62%",29,"-0,17%","17,30%","92.286,10","-246.174.000,00",-032,"9,17%"
MLAS3,200,-249,053,0491,"0,00%",317,066,-273,97,-221,-250,"-17,97%","-19,71%",294,"-17,42%","-21,28%","7.249.150,00","3.093.450.000,00",023,"-12,42%"
DASA3,330,-249,035,0168,"0,00%",88,070,256,-21,1119,471,"6,56%","-6,64%",163,"4,07%","-13,96%","4.277.280,00","7.150.830.000,00",159,"29,35%"
BICB4,825,-243,221,0000,"0,00%",0,000,000,0,000,000,"0,00%","0,00%",0,"0,00%","-91,00%",000,"944.626.000,00",000,"-31,19%"
BICB3,800,-235,214,0000,"0,00%",0,000,000,0,000,000,"0,00%","0,00%",0,"0,00%","-91,00%",000,"944.626.000,00",000,"-31,19%"
ESTR3,760,-229,-011,0398,"0,00%",209,-010,-961,-8,-2253,-3209,"-4,15%","-17,37%",16,"-2,38%","4,73%",000,"-566.515.000,00",-015,"9,33%"
ARLA4,338,-221,-062,2137,"0,00%",442,-031,-674,-29,-1787,-1787,"-31,72%","-96,55%",10,"-13,71%","28,00%",000,"-24.319.000,00",-102,"-47,46%"
FIEI3,993,-218,031,8228,"0,00%",231,483,-488,-236,-679,-721,"-168,73%","-384,50%",141,"-4,91%","-14,38%","8.465,78","76.852.000,00",012,"-11,85%"
LIXC4,145,-217,126,328110,"0,00%",57,023,-349,318,-565,-592,"-9.413,21%","-14.386,80%",134,"-1,90%","-57,85%",000,"13.842.000,00",079,"-75,90%"
MMXM3,1400,-217,-011,0000,"0,00%",710,-010,470,-9,1864,1864,"0,00%","0,00%",1,"25,93%","4,97%",000,"-842.661.000,00",-032,"-28,51%"
OGXP3,163,-215,-098,0000,"0,00%",925,000,-1646,0,-1646,-1646,"0,00%","0,00%",0,"0,00%","45,53%",000,"-53.901.000,00",000,"0,00%"
VTLM3,079,-207,-065,390404,"0,00%",53237,-072,-288,-64,-288,-294,"-13.548,50%","-18.860,60%",0,"521,70%","31,47%",000,"-19.776.000,00",000,"43,48%"
WEST3,093,-191,044,0542,"0,00%",323,084,-128,105,016,021,"-42,23%","-28,45%",293,"-50,15%","-23,26%","46.592,60","232.638.000,00",006,"-11,12%"
ARCZ3,366,-188,195,1096,"0,00%",369,153,950,-84,2818,2818,"11,54%","-58,02%",286,"4,03%","-103,98%",000,"1.934.210.000,00",392,"0,75%"
