Papel,Cota��o,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Ebit,Mrg. L�q.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. L�q,D�v.Brut/ Patrim.,Cresc. Rec.5a
VAGV4,102,-004,-001,0012,"0,00%",33,-007,-024,-1,-887,-887,"-5,08%","-29,29%",52,"-15,14%","20,73%",000,"-8.194.580.000,00",-031,"1,06%"
GAFP3,012,-004,-001,0372,"0,00%",15,-009,-048,-1,-4692,-4692,"-77,57%","-981,28%",51,"-3,21%","38,79%",000,"-80.712.500,00",-143,"-58,09%"
ARTE3,770,-004,-004,0000,"0,00%",103,000,-052,0,-1585,-1585,"0,00%","0,00%",0,"0,00%","102,90%",000,"-33.570.000,00",000,"-64,35%"
TROR3,263,-003,-001,0598,"0,00%",532,-001,-657,-1,-72892,-72892,"-9,11%","-1.745,52%",1,"-9,77%","21,14%",000,"-1.959.650.000,00",-080,"6,34%"
VPSC3,603,-003,259,0017,"0,00%",20,-003,-008,-4,-015,-015,"-22,82%","-55,90%",43,"-28,56%","-8.246,83%",000,"1.232.000,00",615,"-10,02%"
VPTA3,500,-003,000,0124,"0,00%",26,-001,-006,0,-682,-682,"-193,57%","-396,38%",23,"-45,00%","10,11%",000,"-867.658.000,00",-034,"-58,91%"
ARTE4,681,-003,-003,0000,"0,00%",91,000,-046,0,-1579,-1579,"0,00%","0,00%",0,"0,00%","102,90%",000,"-33.570.000,00",000,"-64,35%"
SGPS3,164,-002,010,0016,"0,00%",6,-002,-004,-1,-210,-272,"-42,31%","-77,23%",45,"-20,14%","-470,13%","23.432,70","165.504.000,00",643,"-1,31%"
TROR4,156,-002,000,0355,"0,00%",316,000,-390,0,-72624,-72624,"-9,11%","-1.745,52%",1,"-9,77%","21,14%",000,"-1.959.650.000,00",-080,"6,34%"
RPMG4,026,-002,000,0003,"0,00%",2,-002,-001,0,-001,-001,"-24,58%","-19,67%",87,"-17,73%","17,49%",000,"-5.774.750.000,00",000,"46,88%"
RCTB33,5700,-002,000,0012,"0,00%",1,000,-001,0,342,1501,"-86,10%","-72,18%",488,"-13,38%","-22,24%",000,"1.288.020.000,00",006,"13,99%"
GAFP4,005,-002,-001,0155,"0,00%",6,-004,-020,0,-4665,-4665,"-77,57%","-981,28%",51,"-3,21%","38,79%",000,"-80.712.500,00",-143,"-58,09%"
MILK33,030,-002,-002,0077,"0,00%",29,-008,-004,-2,-011,-012,"-176,80%","-508,08%",50,"-70,91%","165,12%",000,"-516.285.000,00",-004,"-42,04%"
RCTB31,4100,-001,000,0009,"0,00%",1,000,-001,0,342,1503,"-86,10%","-72,18%",488,"-13,38%","-22,24%",000,"1.288.020.000,00",006,"13,99%"
RCTB41,3351,-001,000,0007,"0,00%",1,000,-001,0,342,1504,"-86,10%","-72,18%",488,"-13,38%","-22,24%",000,"1.288.020.000,00",006,"13,99%"
OSXB3,392,-001,000,0209,"0,00%",5,-001,-034,0,-17747,-23701,"-60,80%","-2.142,11%",1,"-1,56%","17,56%","28.259,80","-7.288.040.000,00",-087,"52,09%"
RCTB42,2000,-001,000,0004,"0,00%",0,000,-001,0,343,1505,"-86,10%","-72,18%",488,"-13,38%","-22,24%",000,"1.288.020.000,00",006,"13,99%"
TENE5,050,000,000,1891,"0,00%",6,-013,-009,0,-009,-029,"-2.221,88%","-55.090,60%",0,"-7,06%","13,47%",000,"-130.916.000,00",000,"0,00%"
CGOS4,1600,000,000,0000,"0,00%",0,000,-016,0,-31385,-31385,"-0,20%","-10,48%",54,"-0,08%","-39,02%",000,"453.387.000,00",248,"8,97%"
OSAO4,898,000,000,0000,"0,00%",0,000,001,0,3034,387,"0,80%","-13,13%",45,"1,45%","29,28%",000,"-461.820.000,00",-060,"30,18%"
CBMA4,001,000,000,2533,"0,00%",7,-039,1578,0,"335.170,00","7.533,20","16,05%","-855.507,00%",60,"0,05%","14,00%",000,"-24.263.600.000,00",-090,"-3,40%"
CBMA3,001,000,000,2533,"0,00%",7,-039,1578,0,"335.170,00","7.533,20","16,05%","-855.507,00%",60,"0,05%","14,00%",000,"-24.263.600.000,00",-090,"-3,40%"
ESTC4,000,000,000,0000,"0,00%",0,000,000,0,577,283,"14,91%","2,80%",168,"9,27%","4,66%",000,"3.142.670.000,00",166,"9,76%"
GALO3,000,000,000,0000,"0,00%",0,000,000,0,000,000,"13,98%","-184,58%",0,"39,37%","7,62%",000,"-60.607.000,00",000,"-28,97%"
VNET3,000,000,000,0000,"0,00%",0,000,000,0,000,000,"0,00%","0,00%",0,"0,00%","0,00%",000,"15.091.300.000,00",000,"-7,48%"
VVAX4,000,000,000,0000,"0,00%",0,000,000,0,-444,-444,"-7,36%","-37,76%",219,"-6,52%","-92,03%",000,"144.676.000,00",155,"0,00%"
VSPT4,000,000,000,0000,"0,00%",0,000,000,0,000,000,"0,00%","0,00%",0,"0,00%","0,00%",000,"1.313.700.000,00",000,"8,48%"
VVAX3,000,000,000,0000,"0,00%",0,000,000,0,-444,-444,"-7,36%","-37,76%",219,"-6,52%","-92,03%",000,"144.676.000,00",155,"0,00%"
EQMA5B,000,000,000,0000,"0,00%",0,000,000,0,000,000,"0,00%","0,00%",0,"0,00%","0,00%",000,"3.821.960.000,00",000,"11,41%"
EQMA6B,000,000,000,0000,"0,00%",0,000,000,0,000,000,"0,00%","0,00%",0,"0,00%","0,00%",000,"3.821.960.000,00",000,"11,41%"
VSPT3,000,000,000,0000,"0,00%",0,000,000,0,000,000,"0,00%","0,00%",0,"0,00%","0,00%",000,"1.313.700.000,00",000,"8,48%"
PRBC3,000,000,000,0000,"0,00%",0,000,000,0,000,000,"0,00%","0,00%",0,"0,00%","6,38%",000,"1.272.210.000,00",000,"-8,19%"
PTIP3,2200,000,000,0000,"0,00%",0,000,000,0,362,362,"13,73%","7,55%",70,"23,13%","-121,74%",000,"-155.957.000,00",-902,"62,11%"
PTIP4,2515,000,000,0000,"0,00%",0,000,000,0,362,362,"13,73%","7,55%",70,"23,13%","-121,74%",000,"-155.957.000,00",-902,"62,11%"
ODER3,000,000,000,0000,"0,00%",0,000,000,0,000,000,"0,00%","0,00%",0,"0,00%","0,00%",000,"524.648.000,00",000,"11,39%"
MLPA3,000,000,000,0000,"0,00%",0,000,000,0,-208,-208,"6,66%","8,92%",0,"0,00%","45,13%",000,"44.578.000,00",000,"-7,51%"
SEBB3,000,000,000,0000,"0,00%",0,000,000,0,-023,-023,"9,24%","7,40%",244,"24,15%","23,01%",000,"145.783.000,00",001,"50,04%"
LCAM3,2415,000,357,0000,"0,00%",3059,1361,000,1922,000,000,"0,00%","0,00%",391,"0,00%","0,00%",000,"17.046.400.000,00",004,"21,69%"
MSAN4,644,000,000,0000,"0,00%",0,000,000,0,021,021,"6,27%","2,42%",118,"11,78%","11,81%",000,"2.533.030.000,00",039,"101,35%"
SEBB4,000,000,000,0000,"0,00%",0,000,000,0,-023,-023,"9,24%","7,40%",244,"24,15%","23,01%",000,"145.783.000,00",001,"50,04%"
SFSA3,000,000,000,0000,"0,00%",0,000,000,0,000,000,"0,00%","0,00%",0,"0,00%","6,25%",000,"739.524.000,00",000,"0,15%"
ILLS4,10001,000,000,0000,"0,00%",0,000,000,0,073,073,"8,43%","-10,22%",50,"8,14%","36,09%",000,"-18.567.000,00",-022,"9,33%"
INHA3,000,000,000,0000,"0,00%",0,000,000,0,-641,-689,"-23,59%","-4,79%",164,"-4,81%","-2,37%",000,"1.931.550.000,00",087,"22,56%"
SGEN3,500,000,077,593760,"0,00%",493,-834,-3173,-201,-3242,-3242,"-1.871,17%","0,00%",65,"-1,59%","0,00%",000,"156.981.000,00",002,"-59,85%"
SGEN4,060,000,009,71251,"0,00%",59,-100,-381,-24,-450,-450,"-1.871,17%","0,00%",65,"-1,59%","0,00%",000,"156.981.000,00",002,"-59,85%"
JBDU3,000,000,000,0000,"0,00%",0,000,000,0,000,000,"0,00%","0,00%",0,"0,00%","0,00%",000,"56.569.000,00",000,"0,00%"
JFAB4,006,000,000,0000,"0,00%",0,000,000,0,-11233,-11233,"0,00%","0,00%",0,"0,00%","2,34%",000,"-10.183.000,00",000,"0,00%"
SLCP3,61002,000,000,0000,"0,00%",0,000,000,0,000,000,"0,00%","0,00%",0,"0,00%","0,00%",000,000,000,"0,00%"
LECO3,000,000,000,0000,"0,00%",0,000,000,0,-300,-300,"-2,14%","-4,72%",82,"-3,48%","-14,82%",000,"105.928.000,00",020,"3,58%"
MMAQ3,000,000,000,0000,"0,00%",0,000,000,0,-491,-681,"-2,34%","2,64%",158,"-5,90%","11,07%",000,"270.059.000,00",069,"24,75%"
ICPI3,000,000,000,0000,"0,00%",0,000,000,0,000,000,"0,00%","0,00%",0,"0,00%","0,00%",000,000,000,"0,00%"
SASG3,098,000,000,0000,"0,00%",0,000,000,0,000,000,"0,00%","0,00%",0,"0,00%","0,00%",000,000,000,"0,00%"
REPA3,100,000,000,0000,"0,00%",0,000,000,0,454,454,"5,18%","1,22%",199,"4,05%","1,91%",000,"378.378.000,00",042,"1,09%"
FLCL3,1150,000,1448,0000,"0,00%",2620,16316,000,-525,000,000,"0,00%","0,00%",105,"0,00%","0,00%",000,"357.846.000,00",291,"-6,19%"
FLCL5,1250,000,1574,0000,"0,00%",2848,17735,000,-570,000,000,"0,00%","0,00%",105,"0,00%","0,00%",000,"357.846.000,00",291,"-6,19%"
FLCL6,991,000,1248,0000,"0,00%",2258,14060,000,-452,000,000,"0,00%","0,00%",105,"0,00%","0,00%",000,"357.846.000,00",291,"-6,19%"
REPA4,108,000,000,0000,"0,00%",0,000,000,0,454,454,"5,18%","1,22%",199,"4,05%","1,91%",000,"378.378.000,00",042,"1,09%"
VGOR3,000,000,000,0000,"0,00%",0,000,000,0,677,677,"4,50%","-4,59%",104,"6,00%","-24,29%",000,"135.178.000,00",189,"4,77%"
GALO4,025,000,000,0000,"0,00%",0,000,000,0,000,000,"13,98%","-184,58%",0,"39,37%","7,62%",000,"-60.607.000,00",000,"-28,97%"
SALM4,590,000,000,0000,"0,00%",0,000,000,0,110,110,"10,22%","4,13%",131,"25,78%","19,53%",000,"475.600.000,00",080,"24,53%"
MSAN3,644,000,000,0000,"0,00%",0,000,000,0,021,021,"6,27%","2,42%",118,"11,78%","11,81%",000,"2.533.030.000,00",039,"101,35%"
SALM3,570,000,000,0000,"0,00%",0,000,000,0,110,110,"10,22%","4,13%",131,"25,78%","19,53%",000,"475.600.000,00",080,"24,53%"
GPIV33,395,000,000,0000,"0,00%",0,000,000,0,000,000,"0,00%","0,00%",0,"0,00%","0,00%","688.285,00",000,000,"-40,99%"
TNEP4,395,000,000,0000,"0,00%",0,000,000,0,-109,-109,"20,92%","25,42%",239,"20,53%","22,80%",000,"955.105.000,00",006,"8,15%"
TNEP3,301,000,000,0000,"0,00%",0,000,000,0,-109,-109,"20,92%","25,42%",239,"20,53%","22,80%",000,"955.105.000,00",006,"8,15%"
OMGE3,2757,000,"1.186,76",0000,"0,00%",429631,"5.465,70",000,-91855,000,000,"0,00%","0,00%",186,"0,00%","0,00%",000,"4.652.640,00",140,"27,37%"
LATS3,2200,000,000,0000,"0,00%",0,000,000,0,127,127,"11,74%","1,30%",167,"11,63%","1,84%",000,"680.646.000,00",039,"15,37%"
BPNM3,000,000,000,0000,"0,00%",0,000,000,0,000,000,"0,00%","0,00%",0,"0,00%","9,05%",000,"8.179.170.000,00",000,"10,89%"
ECIS4,14500,000,000,0000,"0,00%",0,000,000,0,153,153,"34,90%","14,18%",138,"12,48%","7,33%",000,"129.346.000,00",038,"4,66%"
ECIS3,21165,000,000,0000,"0,00%",0,000,000,0,153,153,"34,90%","14,18%",138,"12,48%","7,33%",000,"129.346.000,00",038,"4,66%"
CSPC4,120,000,000,0000,"0,00%",0,000,000,0,143,143,"38,62%","18,85%",143,"29,18%","45,33%",000,"2.126.670.000,00",148,"41,15%"
BMEF3,1100,000,416,0000,"0,00%",3482,1024,000,1130,000,000,"0,00%","0,00%",370,"0,00%","0,00%",000,"2.674.780.000,00",000,"0,00%"
BBTG12,315,000,"29.554,00",0000,"0,00%",507607,000,000,0,000,000,"0,00%","0,00%",0,"0,00%","0,00%",000,"9.000,00",000,"0,00%"
CMMA4,081,000,000,0000,"0,00%",0,000,000,0,003,003,"0,00%","0,00%",0,"0,00%","-1,92%",000,"-79.623.000,00",000,"0,00%"
CLSC6,000,000,000,0000,"0,00%",0,000,000,0,000,000,"0,00%","0,00%",0,"0,00%","0,00%",000,"3.354.440.000,00",000,"5,51%"
BBTG13,000,000,000,0000,"0,00%",0,000,000,0,000,000,"0,00%","0,00%",0,"0,00%","0,00%",000,"9.000,00",000,"0,00%"
ARPS4,000,000,000,0000,"0,00%",0,000,000,0,-1408,-1408,"-4,92%","-11,59%",91,"-6,64%","20,34%",000,"-12.690.000,00",-124,"-17,53%"
ARPS3,030,000,000,0000,"0,00%",0,000,000,0,-1408,-1408,"-4,92%","-11,59%",91,"-6,64%","20,34%",000,"-12.690.000,00",-124,"-17,53%"
CZRS3,000,000,000,0000,"0,00%",0,000,000,0,000,000,"0,00%","0,00%",0,"0,00%","3,34%",000,"1.145.670.000,00",000,"14,44%"
ALBA3,215,000,000,0000,"0,00%",0,000,000,0,-127,-127,"9,50%","9,62%",183,"20,40%","19,77%",000,"354.860.000,00",003,"14,69%"
CSPC3,124,000,000,0000,"0,00%",0,000,000,0,143,143,"38,62%","18,85%",143,"29,18%","45,33%",000,"2.126.670.000,00",148,"41,15%"
BOVH3,1571,000,616,0000,"0,00%",4874,690,000,691,000,000,"0,00%","0,00%",440,"0,00%","0,00%",000,"1.843.320.000,00",000,"0,00%"
BPAT33,2000,000,082,0000,"35,72%",0,000,000,0,000,000,"0,00%","0,00%",0,"0,00%","0,00%",000,"876.492.000,00",000,"0,00%"
DUFB11,000,000,000,0000,"0,00%",0,000,000,0,000,000,"0,00%","0,00%",0,"0,00%","0,00%",000,000,000,"0,00%"
BSGR3,"1.091,28",000,000,0000,"0,00%",0,000,000,0,000,000,"0,00%","0,00%",0,"0,00%","0,00%",000,000,000,"0,00%"
CESP4,1629,000,000,0000,"0,00%",0,000,000,0,000,000,"0,00%","0,00%",701,"0,00%","0,00%",000,"8.049.750.000,00",050,"14,26%"
CCHI3,002,000,-001,0000,"0,00%",77,000,000,0,000,000,"0,00%","0,00%",0,"0,00%","0,00%",000,"-160.477.000,00",000,"20,36%"
CESP3,2555,000,111,0000,"0,00%",586,310,000,-235,000,000,"0,00%","0,00%",701,"0,00%","0,00%",000,"8.049.750.000,00",050,"14,26%"
ABCB3,000,000,000,0000,"0,00%",0,000,000,0,000,000,"0,00%","0,00%",0,"0,00%","14,96%",000,"6.235.070.000,00",000,"13,50%"
AGEI3,780,000,125,0000,"0,00%",470,139,000,-1259,000,000,"0,00%","0,00%",245,"0,00%","0,00%",000,"1.878.210.000,00",101,"0,00%"
BBTG11,1501,000,000,0000,"0,00%",0,000,000,0,000,000,"0,00%","0,00%",0,"0,00%","0,00%",000,000,000,"0,00%"
DAYC3,000,000,000,0000,"0,00%",0,000,000,0,000,000,"0,00%","0,00%",0,"0,00%","17,33%",000,"3.009.030.000,00",000,"8,15%"
CESP6,2525,000,109,0000,"0,00%",580,306,000,-232,000,000,"0,00%","0,00%",701,"0,00%","0,00%",000,"8.049.750.000,00",050,"14,26%"
CCHI4,002,000,-001,0000,"0,00%",77,000,000,0,000,000,"0,00%","0,00%",0,"0,00%","0,00%",000,"-160.477.000,00",000,"20,36%"
BERG3,3300,000,000,0000,"0,00%",0,000,000,0,-1049,-1049,"-8,60%","-32,60%",46,"-5,58%","-102,71%",000,"9.538.000,00",286,"-8,00%"
CESP5,2500,000,108,0000,"0,00%",574,303,000,-230,000,000,"0,00%","0,00%",701,"0,00%","0,00%",000,"8.049.750.000,00",050,"14,26%"
ENER5,600,000,000,0000,"0,00%",0,000,000,0,237,207,"30,36%","14,93%",144,"24,28%","51,84%",000,"1.244.940.000,00",334,"12,10%"
ENER3,1050,000,000,0000,"0,00%",0,000,000,0,237,207,"30,36%","14,93%",144,"24,28%","51,84%",000,"1.244.940.000,00",334,"12,10%"
ENER6,1200,000,000,0000,"0,00%",0,000,000,0,237,207,"30,36%","14,93%",144,"24,28%","51,84%",000,"1.244.940.000,00",334,"12,10%"
SCAR4,1000,000,000,0001,"0,00%",0,000,000,0,267,239,"37,66%","21,51%",374,"14,68%","14,72%",000,"1.683.650.000,00",078,"40,46%"
TEFC11,3550,000,000,0000,"0,00%",0,000,000,0,345,345,"23,54%","14,18%",61,"14,85%","46,72%",000,"45.856.000.000,00",295,"12,91%"
CAFE4,050,000,000,0071,"0,00%",4,000,-013,0,-4527,-5349,"-53,07%","2.163,80%",2,"-2,81%","-64,17%",000,"-377.387.000,00",-098,"-11,30%"
MLPA12,4000,001,000,0001,"0,00%",2,000,001,0,-206,-206,"6,66%","8,92%",0,"0,00%","45,13%",000,"44.578.000,00",000,"-7,51%"
PDGR3,016,001,000,0147,"0,00%",20,-002,-014,0,-228,-230,"-105,65%","1.559,22%",41,"-26,43%","-39,26%","968.693,00","-3.384.680.000,00",-007,"-24,11%"
MLPA4,4500,001,000,0001,"0,00%",3,000,001,0,-206,-206,"6,66%","8,92%",0,"0,00%","45,13%",000,"44.578.000,00",000,"-7,51%"
CAFE3,200,002,-001,0283,"0,00%",15,-001,-053,-1,-4567,-5396,"-53,07%","2.163,80%",2,"-2,81%","-64,17%",000,"-377.387.000,00",-098,"-11,30%"
OIBR3,465,003,-002,0034,"0,00%",14,-006,-008,-1,-185,-298,"-41,56%","98,75%",58,"-22,88%","-59,52%","6.085.700,00","-15.043.900.000,00",-057,"-6,33%"
BSCT3,405,004,000,0000,"0,00%",0,000,000,0,000,000,"0,00%","0,00%",0,"0,00%","9,05%",000,"212.960.000,00",000,"1,92%"
CORR3,1200,004,006,0834,"0,00%",17,003,-008,42,333,338,"-1.057,66%","2.141,14%",425,"-85,44%","152,84%",000,"4.665.000,00",000,"-42,09%"
BPHA3,062,006,-024,-20054,"0,00%",995,-038,078,-20,160,143,"-2.581,69%","-33.652,50%",6,"401,01%","-402,50%",000,"-292.294.000,00",-026,"-53,39%"
IGBR5,1890,006,-004,3248,"0,00%",111,-011,-040,-3,-455,-476,"-817,12%","5.379,32%",33,"-57,99%","-60,10%",000,"-650.957.000,00",-054,"13,97%"
IGBR6,1900,006,-004,3266,"0,00%",112,-011,-040,-3,-455,-476,"-817,12%","5.379,32%",33,"-57,99%","-60,10%",000,"-650.957.000,00",-054,"13,97%"
PALF11,12500,007,004,0007,"0,00%",5,037,003,-1,273,256,"21,11%","10,27%",106,"17,72%","57,12%",000,"2.732.710.000,00",346,"8,74%"
BRSR4,18110,009,001,0000,"0,00%",0,000,000,0,000,000,"0,00%","0,00%",0,"0,00%","8,57%",000,"10.096.100.000,00",000,"7,31%"
LREN4,10500,009,001,0007,"0,00%",5,002,004,5,-037,-026,"20,47%","8,36%",166,"18,26%","11,19%",000,"10.317.100.000,00",012,"15,83%"
OIBR4,1254,009,-006,0091,"0,00%",38,-016,-022,-3,-199,-320,"-41,56%","98,75%",58,"-22,88%","-59,52%","195.932,00","-15.043.900.000,00",-057,"-6,33%"
CREM4,4800,011,001,0002,"0,00%",2,002,003,-2,355,209,"8,05%","2,10%",129,"11,36%","7,50%",000,"189.701.000,00",158,"-0,27%"
SULT4,043,011,001,0032,"0,00%",3,-001,-064,0,-080,-083,"-5,05%","29,49%",24,"-0,43%","10,54%",000,"469.687.000,00",001,"14,15%"
PALF5,23660,013,008,0014,"0,00%",10,071,006,-2,276,259,"21,11%","10,27%",106,"17,72%","57,12%",000,"2.732.710.000,00",346,"8,74%"
TPRC6,10500,013,001,0015,"0,00%",6,012,008,-3,000,000,"19,44%","11,11%",134,"9,67%","8,33%",000,"22.847.800.000,00",014,"2,29%"
SJOS4,009,013,-001,2574,"0,00%",393,-001,-078,-1,-1698,-1698,"-327,97%","1.919,92%",2,"3,72%","-5,02%",000,"-180.638.000,00",-014,"-61,79%"
SULT3,056,014,002,0042,"0,00%",4,-002,-083,-1,-100,-103,"-5,05%","29,49%",24,"-0,43%","10,54%",000,"469.687.000,00",001,"14,15%"
TPRC3,11350,014,001,0016,"0,00%",7,013,008,-3,001,000,"19,44%","11,11%",134,"9,67%","8,33%",000,"22.847.800.000,00",014,"2,29%"
ATMP3,138,015,009,0109,"0,00%",28,-065,-047,-6,-270,8737,"-23,24%","71,54%",85,"-6,52%","61,20%","29.658,70","394.768.000,00",062,"-23,34%"
PALF3,27990,016,009,0016,"0,00%",12,083,008,-2,278,260,"21,11%","10,27%",106,"17,72%","57,12%",000,"2.732.710.000,00",346,"8,74%"
BDLL4,909,017,-007,0771,"0,00%",26,-007,-043,-3,-539,-574,"-178,01%","451,39%",53,"-6,51%","-38,36%",89742,"-222.010.000,00",-083,"-3,11%"
INEP3,221,021,-008,14978,"0,00%",89,-010,-142,-4,-1447,-1626,"-1.052,73%","7.127,19%",9,"-6,68%","-36,56%","151.669,00","-1.280.710.000,00",-070,"2,86%"
INEP4,226,021,-008,15317,"0,00%",91,-010,-145,-4,-1450,-1630,"-1.052,73%","7.127,19%",9,"-6,68%","-36,56%","128.620,00","-1.280.710.000,00",-070,"2,86%"
SLED4,160,022,-004,0207,"0,00%",239,-010,-022,-4,-074,-090,"-93,81%","92,72%",12,"-2.259,94%","-18,07%",000,"-381.277.000,00",-009,"-48,69%"
BDLL3,1301,024,-009,1103,"0,00%",38,-009,-062,-4,-557,-594,"-178,01%","451,39%",53,"-6,51%","-38,36%",5782,"-222.010.000,00",-083,"-3,11%"
CORR4,8200,027,041,5701,"0,00%",118,020,-054,284,287,291,"-1.057,66%","2.141,14%",425,"-85,44%","152,84%",000,"4.665.000,00",000,"-42,09%"
RSID3,400,027,-009,1373,"0,00%",151,-014,-205,-7,-951,-959,"-67,09%","503,03%",34,"-8,13%","-32,30%","483.439,00","-907.084.000,00",-036,"-9,96%"
ASSM4,610,029,-015,-8357,"0,00%",133,-020,040,-8,188,188,"-2.084,39%","-2.915,61%",21,"35,38%","-50,73%",000,"-9.943.000,00",-056,"-8,79%"
MMAQ4,20006,030,003,0008,"0,00%",16,005,-034,5,-525,-728,"-2,34%","2,64%",158,"-5,90%","11,07%",000,"270.059.000,00",069,"24,75%"
GAZO4,232,031,-003,-1411,"0,00%",205,-046,086,-3,103,103,"-164,00%","-454,48%",35,"25,06%","-10,61%",000,"-102.667.000,00",-001,"-28,21%"
ASSM3,712,033,-017,-9754,"0,00%",155,-023,047,-9,195,195,"-2.084,39%","-2.915,61%",21,"35,38%","-50,73%",000,"-9.943.000,00",-056,"-8,79%"
BELG4,"1.370,00",036,007,0062,"0,00%",44,029,023,259,040,040,"27,70%","19,46%",197,"22,04%","18,59%",000,"13.495.400.000,00",017,"48,47%"
BELG3,"1.375,50",036,007,0063,"0,00%",44,029,023,260,041,041,"27,70%","19,46%",197,"22,04%","18,59%",000,"13.495.400.000,00",017,"48,47%"
AGEN33,016,039,-003,0000,"0,00%",66,-017,011,-2,373,361,"0,00%","0,00%",9,"87,67%","-8,85%",000,"-1.112.630.000,00",-111,"-87,03%"
TRPN3,071,044,054,0263,"104,74%",399,059,036,59,-035,-035,"72,28%","59,29%",361,"523,01%","122,35%",000,"59.358.000,00",000,"5,77%"
SLED3,321,045,-008,0416,"0,00%",480,-020,-044,-7,-096,-118,"-93,81%","92,72%",12,"-2.259,94%","-18,07%",000,"-381.277.000,00",-009,"-48,69%"
GAZO3,340,045,-005,-2068,"0,00%",301,-067,126,-4,143,143,"-164,00%","-454,48%",35,"25,06%","-10,61%",000,"-102.667.000,00",-001,"-28,21%"
FCAP3,062,052,011,0000,"0,00%",89,000,-618,0,-1527,-1527,"0,00%","0,00%",0,"0,00%","21,83%",000,"107.134.000,00",000,"0,00%"
TXRX4,235,053,-003,0090,"0,00%",53,-007,-072,-2,-2244,-2758,"-12,52%","17,08%",35,"-7,77%","-6,04%","1.561,07","-314.889.000,00",-096,"11,15%"
IGBR3,17599,056,-034,30247,"0,00%",1035,-099,-370,-29,-785,-821,"-817,12%","5.379,32%",33,"-57,99%","-60,10%","10.393,30","-650.957.000,00",-054,"13,97%"
FCAP4,070,058,013,0000,"0,00%",100,000,-698,0,-1607,-1607,"0,00%","0,00%",0,"0,00%","21,83%",000,"107.134.000,00",000,"0,00%"
TARP11,1802,082,025,26009,"0,00%",245,000,19774,0,19529,19529,"13,15%","3.170,05%",0,"0,00%","29,89%",000,"678.212.000,00",000,"-71,36%"
HOOT4,244,087,-031,0304,"0,00%",87,-023,160,-7,119,087,"19,03%","35,12%",27,"5,74%","-35,81%","6.526,51","-144.385.000,00",-001,"35,21%"
BNBR4,2701,106,020,0000,"0,00%",0,000,000,0,000,000,"0,00%","0,00%",0,"0,00%","19,08%",000,"11.528.200.000,00",000,"18,35%"
EBEN4,1751,121,052,0111,"0,00%",81,-108,054,-16,321,274,"20,72%","9,19%",81,"19,03%","42,95%",000,"1.320.300.000,00",348,"7,76%"
TSPP4,905,124,037,0188,"0,00%",162,-402,085,-65,130,130,"22,01%","15,20%",89,"23,92%","29,88%",000,"9.816.290.000,00",035,"13,06%"
TPIS3,539,141,026,0186,"0,00%",85,-085,080,-14,543,410,"23,21%","13,28%",40,"11,32%","18,08%","338.912,00","928.523.000,00",155,"2,93%"
APTI4,"3.500,00",143,025,2453,"0,00%",133,035,-1340,-283,-1050,-1758,"-18,30%","172,07%",1008,"-1,16%","17,72%",000,"263.057.000,00",022,"7,50%"
LUPA3,160,145,051,0591,"0,00%",143,267,-568,-33,-1785,-3471,"-10,39%","40,81%",123,"-2,65%","35,25%","380.401,00","132.143.000,00",116,"12,98%"
TSPP3,1260,172,051,0262,"0,00%",225,-559,119,-91,163,163,"22,01%","15,20%",89,"23,92%","29,88%",000,"9.816.290.000,00",035,"13,06%"
SJOS3,119,177,-009,34036,"0,00%",5191,-009,-1038,-9,-2657,-2657,"-327,97%","1.919,92%",2,"3,72%","-5,02%",000,"-180.638.000,00",-014,"-61,79%"
PLIM4,059,189,003,0020,"0,00%",16,-051,017,-5,150,065,"11,93%","1,55%",80,"10,95%","1,72%",000,"6.812.390.000,00",028,"66,63%"
HBTS5,3895,189,053,1119,"7,80%",225,324,213,-51,340,338,"52,60%","59,23%",210,"10,84%","27,79%","2.341,64","677.313.000,00",036,"54,39%"
CPFG4,1226,193,071,0442,"0,00%",150,-105,074,-32,089,069,"60,10%","36,66%",47,"21,96%","36,72%",000,"3.140.310.000,00",043,"13,88%"
TBLE6,1065,199,079,0817,"0,00%",187,706,160,-32,473,401,"51,15%","41,08%",119,"13,22%","39,51%",000,"11.061.500.000,00",192,"-1,48%"
CPFG3,1265,199,073,0457,"0,00%",155,-108,076,-33,092,071,"60,10%","36,66%",47,"21,96%","36,72%",000,"3.140.310.000,00",043,"13,88%"
TXRX3,960,215,-013,0367,"0,00%",215,-028,-293,-10,-2466,-3030,"-12,52%","17,08%",35,"-7,77%","-6,04%",8320,"-314.889.000,00",-096,"11,15%"
TBLE5,1200,224,089,0921,"0,00%",211,796,180,-37,493,418,"51,15%","41,08%",119,"13,22%","39,51%",000,"11.061.500.000,00",192,"-1,48%"
CTKA4,1860,229,-139,0171,"0,00%",180,065,206,-41,950,710,"8,29%","7,48%",166,"11,27%","-60,71%","16.272,20","-83.184.000,00",-563,"19,02%"
CLSC5,3901,237,045,0144,"0,00%",121,-3932,145,-27,390,296,"9,94%","6,08%",99,"9,47%","18,89%",000,"3.354.440.000,00",094,"5,51%"
AHEB5,3500,239,223,0463,"0,00%",587,162,197,-418,143,136,"23,46%","19,37%",255,"39,18%","93,20%",78767,"134.277.000,00",002,"50,37%"
